contract_id,vendor_id,start_date,end_date,contract_value,payment_terms,renewal_option,price_escalation_clause,auto_renewal,termination_notice,sla_terms,penalty_clauses,renegotiation_opportunity,volume_discounts,preferred_rates
C00000,V0000,2023-12-29,2025-12-28,57450.71,Net 60,Manual,CPI Linked,False,79 days,Strict,Moderate,True,True,False
C00001,V0001,2023-04-23,2023-10-20,47926.04,Net 45,Manual,CPI Linked,True,30 days,Standard,Strict,True,False,False
C00002,V0002,2022-08-20,2023-08-20,59715.33,Net 60,Manual,CPI Linked,True,86 days,Custom,Moderate,True,True,True
C00003,V0003,2024-03-07,2026-03-07,72845.45,Net 30,Manual,Negotiated,False,58 days,Strict,Strict,True,False,False
C00004,V0004,2023-01-03,2023-07-02,46487.7,Net 60,Manual,Negotiated,True,55 days,Standard,Strict,False,True,True
C00005,V0005,2023-12-20,2024-06-17,46487.95,Net 45,Manual,Fixed,False,84 days,Strict,None,True,False,False
C00006,V0006,2023-04-09,2025-04-08,73688.19,Net 45,Manual,Negotiated,False,89 days,Custom,None,True,True,True
C00007,V0007,2024-01-01,2024-06-29,61511.52,Net 60,Auto,Fixed,True,61 days,Strict,Strict,True,True,False
C00008,V0008,2024-03-31,2026-03-31,42957.88,Net 60,Manual,Fixed,False,87 days,Strict,Moderate,False,False,False
C00009,V0009,2024-03-31,2024-09-27,58138.4,Net 30,Auto,Fixed,True,85 days,Strict,Moderate,True,True,False
C00010,V0010,2022-06-04,2023-06-04,43048.73,Net 30,Auto,Negotiated,False,45 days,Strict,Moderate,True,True,True
C00011,V0011,2023-07-25,2025-07-24,43014.05,Net 60,Auto,Fixed,False,55 days,Custom,Moderate,True,False,False
C00012,V0012,2024-04-13,2025-04-13,53629.43,Net 45,Manual,Negotiated,True,42 days,Strict,Moderate,True,True,False
C00013,V0013,2023-09-16,2025-09-15,21300.8,Net 30,Manual,Negotiated,True,90 days,Standard,Strict,True,False,False
C00014,V0014,2023-05-18,2025-05-17,24126.23,Net 30,Auto,Fixed,True,33 days,Standard,Strict,True,True,True
C00015,V0015,2024-03-30,2024-09-26,41565.69,Net 45,Manual,Fixed,False,44 days,Strict,Strict,False,True,True
C00016,V0016,2024-02-19,2026-02-18,34807.53,Net 30,Auto,CPI Linked,False,36 days,Strict,Moderate,True,False,True
C00017,V0017,2022-07-19,2024-07-18,54713.71,Net 60,Auto,CPI Linked,True,44 days,Custom,Strict,False,True,True
C00018,V0018,2023-01-04,2024-01-04,36379.64,Net 30,Auto,CPI Linked,True,50 days,Custom,Moderate,False,True,False
C00019,V0019,2022-10-09,2024-10-08,28815.44,Net 45,Manual,Negotiated,True,34 days,Strict,Strict,True,True,False
C00020,V0020,2023-01-09,2025-01-08,71984.73,Net 30,Manual,Fixed,True,44 days,Strict,None,True,False,False
C00021,V0021,2024-01-03,2025-01-02,46613.36,Net 60,Auto,Fixed,True,44 days,Strict,None,True,True,True
C00022,V0022,2023-11-08,2024-05-06,51012.92,Net 30,Manual,Fixed,True,82 days,Custom,None,True,False,True
C00023,V0023,2023-07-13,2025-07-12,28628.78,Net 30,Auto,Negotiated,False,42 days,Strict,Moderate,False,True,True
C00024,V0024,2022-06-09,2022-12-06,41834.26,Net 45,Auto,Fixed,True,43 days,Standard,None,True,True,False
C00025,V0025,2024-04-16,2025-04-16,51663.84,Net 30,Manual,Negotiated,True,80 days,Standard,Strict,False,False,False
C00026,V0026,2024-05-25,2024-11-21,32735.1,Net 60,Auto,Fixed,False,39 days,Custom,Moderate,False,True,True
C00027,V0027,2023-12-11,2024-12-10,55635.47,Net 45,Auto,Fixed,True,70 days,Standard,Moderate,True,True,True
C00028,V0028,2022-07-06,2024-07-05,40990.42,Net 45,Auto,Negotiated,False,66 days,Standard,Strict,True,False,True
C00029,V0029,2022-07-30,2023-07-30,45624.59,Net 60,Auto,CPI Linked,False,80 days,Strict,Strict,True,True,True
C00030,V0030,2023-11-02,2025-11-01,40974.4,Net 30,Auto,Negotiated,False,84 days,Standard,Strict,False,True,True
C00031,V0031,2024-04-16,2026-04-16,77784.17,Net 45,Auto,Negotiated,True,40 days,Strict,Moderate,False,False,False
C00032,V0032,2023-11-28,2024-05-26,49797.54,Net 45,Manual,Fixed,False,31 days,Standard,None,False,True,False
C00033,V0033,2022-11-22,2023-11-22,34134.34,Net 30,Auto,Fixed,True,89 days,Strict,None,False,True,True
C00034,V0034,2023-11-11,2024-05-09,62338.17,Net 30,Manual,Negotiated,False,46 days,Strict,None,True,True,False
C00035,V0035,2023-05-06,2023-11-02,31687.35,Net 60,Manual,CPI Linked,False,35 days,Standard,Strict,True,True,False
C00036,V0036,2023-10-30,2025-10-29,53132.95,Net 45,Auto,CPI Linked,True,77 days,Strict,Moderate,False,False,False
C00037,V0037,2023-04-24,2024-04-23,20604.95,Net 60,Auto,Fixed,True,30 days,Custom,Strict,True,False,False
C00038,V0038,2023-09-16,2025-09-15,30077.21,Net 30,Manual,Fixed,False,51 days,Strict,Strict,True,False,True
C00039,V0039,2023-07-07,2024-01-03,52952.92,Net 60,Manual,Negotiated,False,67 days,Standard,Moderate,False,True,False
C00040,V0040,2024-01-19,2025-01-18,61077.0,Net 60,Manual,CPI Linked,True,80 days,Strict,None,False,True,True
C00041,V0041,2023-10-24,2025-10-23,52570.52,Net 30,Auto,CPI Linked,False,79 days,Strict,Moderate,True,False,False
C00042,V0042,2024-05-14,2025-05-14,48265.28,Net 30,Manual,CPI Linked,True,53 days,Standard,Strict,True,False,True
C00043,V0043,2023-04-29,2023-10-26,45483.44,Net 45,Auto,Negotiated,True,45 days,Standard,None,True,True,False
C00044,V0044,2023-06-13,2025-06-12,27822.17,Net 30,Auto,CPI Linked,False,36 days,Strict,Strict,True,False,True
C00045,V0045,2023-11-23,2024-05-21,39202.34,Net 45,Manual,Fixed,True,72 days,Custom,Moderate,False,True,False
C00046,V0046,2024-05-04,2026-05-04,43090.42,Net 45,Manual,CPI Linked,True,32 days,Standard,Moderate,False,True,False
C00047,V0047,2023-07-25,2024-07-24,65856.83,Net 45,Manual,CPI Linked,False,75 days,Custom,Moderate,True,True,True
C00048,V0048,2024-05-16,2024-11-12,55154.27,Net 45,Manual,CPI Linked,False,76 days,Strict,Strict,True,True,True
C00049,V0049,2022-07-11,2023-07-11,23554.4,Net 60,Auto,Negotiated,False,44 days,Strict,Moderate,False,False,True
C00050,V0050,2023-06-02,2025-06-01,54861.26,Net 60,Manual,Negotiated,True,84 days,Strict,Strict,False,True,True
C00051,V0051,2022-11-03,2024-11-02,44223.77,Net 60,Auto,CPI Linked,True,67 days,Strict,Moderate,False,True,False
C00052,V0052,2023-09-15,2024-03-13,39846.17,Net 45,Manual,Negotiated,False,67 days,Custom,Moderate,False,False,False
C00053,V0053,2022-07-31,2023-01-27,59175.14,Net 30,Auto,Fixed,True,68 days,Custom,None,True,False,True
C00054,V0054,2022-07-25,2023-07-25,65464.99,Net 60,Auto,Negotiated,True,88 days,Standard,Strict,True,True,True
C00055,V0055,2022-10-16,2023-10-16,63969.2,Net 45,Manual,CPI Linked,True,55 days,Custom,Moderate,True,True,False
C00056,V0056,2023-01-04,2025-01-03,37411.74,Net 60,Auto,Fixed,True,54 days,Standard,Moderate,True,True,False
C00057,V0057,2023-03-04,2023-08-31,45361.81,Net 45,Auto,Negotiated,True,50 days,Standard,Moderate,False,False,True
C00058,V0058,2023-08-07,2025-08-06,54968.95,Net 45,Auto,Fixed,True,63 days,Custom,Moderate,True,False,False
C00059,V0059,2023-01-25,2025-01-24,64633.18,Net 45,Manual,Negotiated,True,38 days,Strict,None,True,False,True
C00060,V0060,2023-12-14,2024-06-11,42812.39,Net 30,Manual,CPI Linked,False,83 days,Standard,None,True,False,True
C00061,V0061,2024-01-13,2026-01-12,47215.12,Net 30,Manual,CPI Linked,True,51 days,Strict,Strict,False,True,False
C00062,V0062,2022-07-14,2024-07-13,33404.98,Net 60,Auto,Fixed,True,88 days,Strict,Strict,True,True,False
C00063,V0063,2022-07-11,2023-07-11,32056.9,Net 60,Auto,Negotiated,True,56 days,Strict,Moderate,False,True,True
C00064,V0064,2023-01-23,2024-01-23,62187.89,Net 45,Auto,Negotiated,True,46 days,Strict,None,False,False,True
C00065,V0065,2023-01-18,2025-01-17,70343.6,Net 30,Auto,Fixed,False,44 days,Strict,Strict,True,False,False
C00066,V0066,2022-10-01,2023-03-30,48919.85,Net 30,Manual,Fixed,True,53 days,Custom,None,False,True,False
C00067,V0067,2023-12-03,2024-12-02,65052.99,Net 30,Manual,CPI Linked,False,47 days,Standard,Moderate,True,False,True
C00068,V0068,2022-11-23,2024-11-22,55424.54,Net 45,Auto,Negotiated,False,63 days,Custom,Strict,False,False,False
C00069,V0069,2023-11-18,2025-11-17,40323.2,Net 30,Auto,Fixed,True,38 days,Strict,None,True,False,False
C00070,V0070,2022-06-22,2022-12-19,55420.93,Net 45,Auto,CPI Linked,True,68 days,Custom,None,False,False,False
C00071,V0071,2023-06-02,2025-06-01,73070.55,Net 30,Auto,Fixed,False,60 days,Standard,Strict,False,True,True
C00072,V0072,2023-02-06,2024-02-06,49462.61,Net 60,Manual,CPI Linked,True,61 days,Strict,Strict,True,False,True
C00073,V0073,2023-02-08,2023-08-07,73469.65,Net 30,Auto,CPI Linked,True,45 days,Standard,Strict,False,False,True
C00074,V0074,2023-07-09,2024-01-05,10703.82,Net 60,Auto,Fixed,False,61 days,Strict,Moderate,True,False,False
C00075,V0075,2022-09-04,2024-09-03,62328.54,Net 45,Auto,CPI Linked,True,73 days,Strict,Strict,False,True,True
C00076,V0076,2023-05-26,2023-11-22,51305.71,Net 60,Manual,Negotiated,False,87 days,Standard,Moderate,False,True,True
C00077,V0077,2023-05-22,2023-11-18,45514.89,Net 30,Auto,CPI Linked,True,42 days,Custom,None,True,True,True
C00078,V0078,2022-12-26,2023-12-26,51376.41,Net 45,Manual,Fixed,False,45 days,Standard,Moderate,False,False,True
C00079,V0079,2024-01-15,2026-01-14,20186.47,Net 30,Manual,CPI Linked,True,41 days,Custom,Moderate,True,False,True
C00080,V0080,2023-12-01,2024-05-29,46704.92,Net 30,Auto,Fixed,False,73 days,Custom,Strict,False,False,False
C00081,V0081,2023-02-14,2024-02-14,55356.69,Net 45,Auto,Fixed,False,41 days,Standard,Moderate,False,False,False
