vendor_id,vendor_name,category,subcategory,risk_score,financial_health,location,size,contract_start,primary_contact,payment_terms,preferred_vendor_status,spend_volume_tier,contract_complexity,renewal_frequency,price_escalation_terms
V0000,"Rodriguez, Figueroa and Sanchez",IT,Cloud,2.37,Poor,Lake Curtis,Large,2023-12-29,garzaanthony@example.org,Net 60,False,Medium,Medium,Annual,CPI Linked
V0001,Hall PLC,Operations,Logistics,8.46,Poor,New Jamesside,Medium,2023-04-23,shaneramirez@example.org,Net 45,True,Low,High,Annual,CPI Linked
V0002,Wolfe LLC,Marketing,SEO,6.43,Poor,Ericmouth,Small,2022-08-20,jamesmichael@example.com,Net 60,False,Medium,Low,Biennial,CPI Linked
V0003,"Baker, Williams and Stevens",IT,Cloud,3.58,Poor,South Christianport,Large,2024-03-07,barbara10@example.net,Net 30,False,Low,Low,Annual,Negotiated
V0004,Mejia Inc,Marketing,Digital Ads,3.15,Good,Port Craig,Small,2023-01-03,xreid@example.org,Net 60,False,Low,Low,Biennial,Negotiated
V0005,Kelly-Santiago,Facilities,Maintenance,6.27,Good,New Cynthiaside,Medium,2023-12-20,frankgray@example.net,Net 45,False,Low,Low,Annual,Fixed
V0006,"Hawkins, Cohen and Cameron",HR,Recruiting,6.25,Average,East Lydiamouth,Small,2023-04-09,carl95@example.org,Net 45,False,Medium,High,Annual,Negotiated
V0007,"Porter, Wilkerson and Day",Marketing,Digital Ads,8.31,Poor,West Donald,Small,2024-01-01,julie69@example.com,Net 60,True,High,High,Annual,Fixed
V0008,Robinson-Bright,Operations,Logistics,3.64,Poor,Daviston,Small,2024-03-31,hernandezernest@example.net,Net 60,False,Low,Low,Annual,Fixed
V0009,Carlson-Cruz,Marketing,Events,2.93,Poor,Riceside,Medium,2024-03-31,frazierdanny@example.net,Net 30,False,Low,Medium,Annual,Fixed
V0010,Mack-Peterson,IT,Cloud,5.34,Poor,Ryanmouth,Large,2022-06-04,teresa28@example.org,Net 30,False,Medium,Medium,Biennial,Negotiated
V0011,"Evans, Fowler and Lynch",HR,Recruiting,6.65,Average,West Kathryn,Medium,2023-07-25,georgetracy@example.org,Net 60,True,Low,Medium,Annual,Fixed
V0012,Koch-Decker,HR,Training,3.05,Good,Johnbury,Small,2024-04-13,millertodd@example.org,Net 45,False,Low,High,Annual,Negotiated
V0013,"Cannon, Anderson and Alvarez",Marketing,Events,5.39,Average,West Allison,Small,2023-09-16,ibrandt@example.net,Net 30,True,Medium,High,Biennial,Negotiated
V0014,"Harris, Collins and Carney",Marketing,Events,4.82,Good,Samuelhaven,Small,2023-05-18,wrightcaleb@example.org,Net 30,True,Medium,High,Biennial,Fixed
V0015,"Spencer, Chapman and Smith",HR,Recruiting,3.74,Good,East Carloston,Small,2024-03-30,chad34@example.net,Net 45,True,Low,High,Biennial,Fixed
V0016,Lewis-Anderson,Facilities,Cleaning,3.19,Average,Sanchezfort,Medium,2024-02-19,glee@example.net,Net 30,True,Low,High,Annual,CPI Linked
V0017,Gomez-Jenkins,Operations,Logistics,4.31,Average,Lake Deniseville,Small,2022-07-19,zchandler@example.org,Net 60,True,Medium,Low,Annual,CPI Linked
V0018,Lee PLC,IT,Cloud,1.84,Average,Taylorburgh,Medium,2023-01-04,ewright@example.com,Net 30,False,Low,High,Annual,CPI Linked
V0019,"Garcia, Pearson and Fernandez",IT,Software,8.02,Poor,North Sarabury,Large,2022-10-09,ntucker@example.com,Net 45,False,High,Medium,Biennial,Negotiated
V0020,Martin Inc,Facilities,Maintenance,5.61,Average,Bakermouth,Medium,2023-01-09,uhorton@example.net,Net 30,False,Low,High,Biennial,Fixed
V0021,"Higgins, Moore and Phillips",Facilities,Maintenance,9.78,Average,New Jillton,Small,2024-01-03,brian97@example.net,Net 60,False,Low,Medium,Annual,Fixed
V0022,"Moore, Yu and Miller",HR,Training,0.75,Average,North Brooke,Small,2023-11-08,richarddavid@example.net,Net 30,False,Medium,High,Annual,Fixed
V0023,Riley Inc,IT,Software,0.97,Good,South Dianeshire,Large,2023-07-13,sarah35@example.org,Net 30,True,Medium,Low,Biennial,Negotiated
V0024,Foster-Powers,Facilities,Cleaning,4.86,Poor,Stephenland,Medium,2022-06-09,khowell@example.org,Net 45,True,High,Low,Biennial,Fixed
V0025,Medina PLC,Marketing,Digital Ads,3.67,Poor,Davidstad,Large,2024-04-16,suarezmike@example.org,Net 30,False,Medium,Low,Biennial,Negotiated
